"Card Type","question","answer","tags","id","next_appearance","date_added","Structure Image","structure_image"
"Class","What PFAS class is PFBA?","PFCA","1633,pfca,moderate","1","2026-07-10 13:32:55.100554","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFBA have?","Carboxylic acid / carboxylate","1633,pfca,moderate","2","2026-07-10 10:50:24.290661","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFBA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,moderate","3","2026-07-10 13:31:23.890072","2026-07-02 10:45:04.873270","",""
"Fate","Is PFBA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,moderate","4","2026-07-09 13:31:26.121117","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFPeA?","PFCA","1633,pfca,moderate","5","2026-07-05 10:57:32.656831","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFPeA have?","Carboxylic acid / carboxylate","1633,pfca,moderate","6","2026-07-09 13:19:20.891812","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFPeA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,moderate","7","2026-07-03 15:37:20.965185","2026-07-02 10:45:04.873270","",""
"Fate","Is PFPeA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,moderate","8","2026-07-03 15:37:26.398413","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFHxA?","PFCA","1633,pfca,moderate","9","2026-07-03 15:37:27.369891","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFHxA have?","Carboxylic acid / carboxylate","1633,pfca,moderate","10","2026-07-03 15:37:28.144994","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFHxA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,moderate","11","2026-07-03 15:37:29.118444","2026-07-02 10:45:04.873270","",""
"Fate","Is PFHxA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,moderate","12","2026-07-03 15:37:36.490467","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFHpA?","PFCA","1633,pfca,moderate","13","2026-07-03 15:37:46.544239","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFHpA have?","Carboxylic acid / carboxylate","1633,pfca,moderate","14","2026-07-03 15:37:47.311791","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFHpA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,moderate","15","2026-07-03 15:37:47.573032","2026-07-02 10:45:04.873270","",""
"Fate","Is PFHpA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,moderate","16","2026-07-03 15:37:47.812801","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFOA?","PFCA","1633,pfca,moderate","17","2026-07-03 15:37:48.139653","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFOA have?","Carboxylic acid / carboxylate","1633,pfca,moderate","18","2026-07-03 15:37:48.684029","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFOA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,moderate","19","2026-07-03 15:37:48.945107","2026-07-02 10:45:04.873270","",""
"Fate","Is PFOA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,moderate","20","2026-07-03 15:37:49.527035","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFNA?","PFCA","1633,pfca,low","21","2026-07-03 15:37:49.974649","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFNA have?","Carboxylic acid / carboxylate","1633,pfca,low","22","2026-07-03 15:37:50.223369","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFNA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,low","23","2026-07-03 15:37:50.451140","2026-07-02 10:45:04.873270","",""
"Fate","Is PFNA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,low","24","2026-07-03 15:37:50.691647","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFDA?","PFCA","1633,pfca,low","25","2026-07-03 15:37:51.066771","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFDA have?","Carboxylic acid / carboxylate","1633,pfca,low","26","2026-07-03 15:37:52.602483","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFDA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,low","27","2026-07-03 15:38:05.637075","2026-07-02 10:45:04.873270","",""
"Fate","Is PFDA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,low","28","2026-07-03 15:38:07.098701","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFUnA?","PFCA","1633,pfca,low","29","2026-07-03 15:38:08.372552","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFUnA have?","Carboxylic acid / carboxylate","1633,pfca,low","30","2026-07-03 15:57:08.797868","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFUnA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,low","31","2026-07-03 15:57:12.647012","2026-07-02 10:45:04.873270","",""
